sleep_group,n,percent,bmi_mean,bmi_sd,bmi_median,weighted_bmi_mean,mean_screen_time_hours,mean_physical_activity_days
<=6 hours,4383.0,38.93923240938166,66.01066696620185,27.48968411756207,71.97879286,64.38480027252024,3.943645904631531,2.8587725302304356
7 hours,3377.0,30.00177683013504,65.02419946370566,26.691009844603563,69.53245093,63.842823849567,3.7032869410719575,3.1101569440331653
8+ hours,3496.0,31.058990760483297,64.38267171636012,28.061476491257398,70.778684075,63.04853348609585,3.614130434782609,3.2019450800915332
